	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172	-1.39588172
hubei	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792	-0.01653792
yunnan	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135	0.59249135
guangdong	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941	-0.04358941
jiangsu	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653	-0.49845653
zhejiang	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336	-0.50480336
hunan	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817	0.08921817
sichuan	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488	0.76097488
shaanxi	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963	0.06275963
heilongjiang	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588	0.72438588
