	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
hubei	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
yunnan	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
guangdong	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
jiangsu	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
zhejiang	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
hunan	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
sichuan	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
shaanxi	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
heilongjiang	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
jiangxi	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
henan	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
shanxi	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
tibet	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
anhui	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
guizhou	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
shanghai	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
ningxia	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
california	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
missouri	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
cambodia	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
sweden	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
australia	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
greece	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
belgium	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
burkina_faso	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
united_kingdom	0.01405288	0.95019627	0.87222024	0.63724037	0.50093885	0.65924276	1.06549645	0.97336010	0.53444298	0.23386371	0.79311050	1.12089492	0.61887980	-0.57396183	1.08875194	0.86889216	-0.98361951	-0.23558201	-1.06727328	-1.33845609	-3.02131971	-0.39783558	-0.64407006	-1.29760620	0.04265252	-1.39363936	-0.02087283
