	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288	0.01405288
hubei	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627	0.95019627
yunnan	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024	0.87222024
guangdong	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037	0.63724037
jiangsu	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885	0.50093885
zhejiang	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276	0.65924276
hunan	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645	1.06549645
sichuan	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010	0.97336010
shaanxi	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298	0.53444298
heilongjiang	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371	0.23386371
jiangxi	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050	0.79311050
henan	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492	1.12089492
shanxi	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980	0.61887980
tibet	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183	-0.57396183
anhui	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194	1.08875194
guizhou	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216	0.86889216
shanghai	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951	-0.98361951
ningxia	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201	-0.23558201
california	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328	-1.06727328
missouri	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609	-1.33845609
cambodia	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971	-3.02131971
sweden	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558	-0.39783558
australia	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006	-0.64407006
greece	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620	-1.29760620
belgium	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252	0.04265252
burkina_faso	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936	-1.39363936
