	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
hubei	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
yunnan	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
guangdong	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
jiangsu	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
zhejiang	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
hunan	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
sichuan	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
shaanxi	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
heilongjiang	-0.24324292	0.60598170	1.10137669	0.18095353	-2.29302225	0.50058375	0.59958500	0.65345751	0.81480172	0.87172874	0.46604342	-0.18848001	-1.50298083	-0.99633473	-0.64858230	1.00610735	-2.04454103	-2.40346518	0.63651187	0.76143556	0.80340629	0.79634200	-0.03880328	0.50415673	-0.05756270	-0.24671930	0.36126268
