	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292	-0.24324292
hubei	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170	0.60598170
yunnan	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669	1.10137669
guangdong	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353	0.18095353
jiangsu	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225	-2.29302225
zhejiang	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375	0.50058375
hunan	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500	0.59958500
sichuan	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751	0.65345751
shaanxi	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172	0.81480172
heilongjiang	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874	0.87172874
jiangxi	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342	0.46604342
henan	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001	-0.18848001
shanxi	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083	-1.50298083
tibet	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473	-0.99633473
anhui	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230	-0.64858230
guizhou	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735	1.00610735
shanghai	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103	-2.04454103
ningxia	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518	-2.40346518
california	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187	0.63651187
