	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
hubei	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
yunnan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
guangdong	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
jiangsu	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
zhejiang	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
hunan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
sichuan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
shaanxi	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
heilongjiang	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.72591379	0.21068927	0.95337297	0.00832842	-0.53918346	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	-0.37743030	1.05033265	-0.94676888	-2.89636043	-1.21707368	-2.05671705	0.46221308	-1.56555716
