	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068
hubei	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959	0.11372959
yunnan	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841
guangdong	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937
jiangsu	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439	0.38403439
zhejiang	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378
hunan	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180	0.84797180
sichuan	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981
shaanxi	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379
heilongjiang	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927
