	australia	sweden	california	missouri	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	hubei	jiangsu	hainan	yunnan	guangdong	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	heilongjiang	jiangxi	zhejiang	sichuan	shanghai
australia	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
sweden	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
california	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
missouri	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
greece	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
belgium	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
tibet	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
cambodia	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
burkina_faso	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
united_kingdom	1.02012517	0.35547953	1.84336364	-1.29099741	-1.29099741	0.35547953	-1.29099741	2.07395925	0.62050313	-1.29099741	-0.46775894	0.01380470	1.31860680	1.84336364	0.83704317	-0.46775894	0.01380470	-0.46775894	0.01380470	0.35547953	-1.29099741	-0.46775894	-0.46775894	-1.29099741	-0.46775894	-0.46775894	0.35547953
