	australia	sweden	california	missouri	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	hubei	jiangsu	hainan	yunnan	guangdong	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	heilongjiang	jiangxi	zhejiang	sichuan	shanghai
australia	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517	1.02012517
sweden	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953
california	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364
missouri	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741
greece	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741
belgium	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953
tibet	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741
cambodia	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925	2.07395925
burkina_faso	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313	0.62050313
united_kingdom	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741
hubei	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
jiangsu	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470
hainan	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680	1.31860680
yunnan	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364	1.84336364
guangdong	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317	0.83704317
henan	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
hunan	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470
ningxia	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
shaanxi	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470	0.01380470
shanxi	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953	0.35547953
anhui	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741
guizhou	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
heilongjiang	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
jiangxi	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741	-1.29099741
zhejiang	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
sichuan	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894	-0.46775894
