	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	greece	belgium	burkina_faso	united_kingdom
hainan	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972	0.70602972
hubei	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650	-0.81349650
yunnan	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291	0.25197291
guangdong	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668	1.05486668
jiangsu	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311	1.15250311
zhejiang	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339	-0.23431339
hunan	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946	1.12216946
sichuan	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682	0.22732682
shaanxi	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121	-1.70739121
heilongjiang	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875	-2.15196875
jiangxi	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541	0.81314541
henan	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128	0.01499128
shanxi	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480	0.07281480
tibet	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554	-1.88370554
anhui	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119	-0.26275119
guizhou	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203	-0.30351203
shanghai	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775	1.11837775
ningxia	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404	-1.61923404
