	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
hubei	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
yunnan	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
guangdong	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
jiangsu	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
zhejiang	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
hunan	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
sichuan	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
shaanxi	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
heilongjiang	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
jiangxi	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
henan	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
shanxi	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
tibet	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
anhui	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
guizhou	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
shanghai	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
ningxia	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
california	-0.98370347	0.49403570	0.02402870	1.12121931	1.09696579	0.79109224	0.40644586	0.54892815	0.11135169	-0.45008185	0.08335926	0.53632248	-0.13125421	-1.75380779	0.36978348	-0.21711733	0.41593022	-1.25111554	1.65497026	-1.69055565	0.22740899	1.01856239	-1.59082348	-0.41273999	0.29852842	-2.22651392	1.50878027
