	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347	-0.98370347
hubei	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570	0.49403570
yunnan	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870	0.02402870
guangdong	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931	1.12121931
jiangsu	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579	1.09696579
zhejiang	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224	0.79109224
hunan	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586	0.40644586
sichuan	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815	0.54892815
shaanxi	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169	0.11135169
heilongjiang	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185	-0.45008185
