	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
hubei	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
yunnan	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
guangdong	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
jiangsu	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
zhejiang	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
hunan	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
sichuan	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
shaanxi	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
heilongjiang	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
jiangxi	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
henan	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
shanxi	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
tibet	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
anhui	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
guizhou	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
shanghai	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
ningxia	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
california	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
cambodia	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
sweden	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
australia	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
tunisia	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
greece	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
belgium	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
burkina_faso	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
united_kingdom	-0.32722044	-0.30035796	0.28882090	1.22384524	0.19158207	0.69889035	0.42942791	0.42288319	-1.21048004	-0.40333723	0.80181542	-1.05365164	-1.33981431	-1.72115955	0.64597584	1.11347506	0.46605040	-1.39566826	-0.88636335	1.77274003	0.56944349	-0.18754134	-2.39413283	0.23845820	1.04337154	0.24089024	1.07205704
