	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044	-0.32722044
hubei	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796	-0.30035796
yunnan	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090	0.28882090
guangdong	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524	1.22384524
jiangsu	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207	0.19158207
zhejiang	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035	0.69889035
hunan	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791	0.42942791
sichuan	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319	0.42288319
shaanxi	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004	-1.21048004
heilongjiang	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723	-0.40333723
