	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
hubei	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
yunnan	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
guangdong	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
jiangsu	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
zhejiang	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
hunan	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
sichuan	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
shaanxi	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
heilongjiang	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
jiangxi	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
henan	-1.39242805	-0.01341307	0.59547102	-0.04045811	-0.49521679	-0.50156211	0.09231781	0.76391438	0.06586558	0.72733411	-0.10080835	-0.10032281	-0.15555607	1.51723063	-0.24908606	-0.05777368	-2.75705557	-0.84794683	0.65489264	-0.03490927	0.70372977	3.00387970	-0.11694703	-0.29123608	-1.47357065	0.30163004	0.20202484
