	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805	-1.39242805
hubei	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307	-0.01341307
yunnan	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102	0.59547102
guangdong	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811	-0.04045811
jiangsu	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679	-0.49521679
zhejiang	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211	-0.50156211
hunan	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781	0.09231781
sichuan	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438	0.76391438
shaanxi	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558	0.06586558
heilongjiang	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411	0.72733411
