	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
hubei	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
yunnan	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
guangdong	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
jiangsu	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
zhejiang	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
hunan	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
sichuan	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
shaanxi	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
heilongjiang	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
jiangxi	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
henan	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
shanxi	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
tibet	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
anhui	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
guizhou	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
shanghai	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
ningxia	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
california	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
cambodia	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
sweden	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
australia	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
tunisia	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
greece	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
belgium	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
burkina_faso	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
united_kingdom	-0.00370975	0.95134808	0.87179656	0.63206901	0.49301357	0.65451596	1.06897785	0.97497991	0.52719464	0.22054227	0.79108845	1.12549563	0.61333747	-0.60360509	1.09270321	0.86840125	-1.02153976	-0.25838843	-1.10688372	-3.10041095	-0.42392027	-0.67512983	-0.89628831	-1.34187043	0.02546773	-1.43984391	-0.03934113
