	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975	-0.00370975
hubei	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808	0.95134808
yunnan	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656	0.87179656
guangdong	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901	0.63206901
jiangsu	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357	0.49301357
zhejiang	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596	0.65451596
hunan	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785	1.06897785
sichuan	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991	0.97497991
shaanxi	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464	0.52719464
heilongjiang	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227	0.22054227
