	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.00000000	0.09544077	0.08404760	0.03929173	0.12390264	0.10337796	0.07072838	0.10869567	0.12692672	0.23972082	0.07688349	0.11748001	0.14347111	0.18268969	0.10890659	0.07136007	0.11989315	0.14476753	0.77787820	0.05861827	0.55432001	0.35216237	0.65358806	0.57331337	0.63199926	0.78360655	0.64891449
hubei	0.09544077	0.00000000	0.08196830	0.05906215	0.04912014	0.05441059	0.02479349	0.06007681	0.03714517	0.15059828	0.03297309	0.02286440	0.04810988	0.15052062	0.03166395	0.04582766	0.06044852	0.05882390	0.70152063	0.14254212	0.47712915	0.43556750	0.60375692	0.52229376	0.56109478	0.75495283	0.57156210
yunnan	0.08404760	0.08196830	0.00000000	0.08059205	0.13067551	0.12801217	0.06958931	0.04177511	0.08766922	0.22521062	0.09516116	0.10072479	0.11365166	0.09872469	0.11265683	0.03782558	0.13899084	0.09399491	0.77834377	0.09348750	0.47538122	0.43063251	0.56974905	0.48932409	0.55007627	0.70443443	0.56938224
guangdong	0.03929173	0.05906215	0.08059205	0.00000000	0.08476269	0.06604858	0.03576748	0.08924077	0.09385853	0.20043084	0.03760837	0.07989251	0.10695056	0.17529730	0.06962320	0.05145175	0.08207239	0.11383095	0.74101804	0.09500268	0.53048055	0.37886837	0.64379265	0.56257496	0.61173055	0.78412710	0.62520846
jiangsu	0.12390264	0.04912014	0.13067551	0.08476269	0.00000000	0.02867553	0.06466594	0.10752247	0.06791519	0.11662376	0.04729381	0.03803098	0.05546632	0.19508658	0.01817439	0.09352251	0.01890013	0.08694159	0.65869688	0.17890498	0.48954776	0.43502933	0.63190983	0.55102552	0.57721212	0.79023362	0.58238644
zhejiang	0.10337796	0.05441059	0.12801217	0.06604858	0.02867553	0.00000000	0.05842287	0.11390201	0.08476020	0.14209743	0.03348749	0.05530091	0.07934963	0.20486138	0.02868602	0.09029739	0.01675172	0.10597380	0.67504722	0.16086046	0.51626529	0.40643311	0.65366227	0.57241123	0.60316097	0.80818037	0.60953625
hunan	0.07072838	0.02479349	0.06958931	0.03576748	0.06466594	0.05842287	0.00000000	0.06160162	0.05809370	0.17377226	0.02601937	0.04734514	0.07274276	0.15246447	0.04667356	0.03193586	0.07003727	0.07822402	0.72247262	0.11856106	0.49583181	0.41442259	0.61507536	0.53362513	0.57815513	0.76125259	0.59049829
sichuan	0.10869567	0.06007681	0.04177511	0.08924077	0.10752247	0.11390201	0.06160162	0.00000000	0.05036892	0.18807686	0.08599467	0.07161474	0.07698153	0.09144558	0.09122413	0.03853281	0.12044624	0.05268738	0.74012803	0.13225831	0.44564437	0.46079540	0.55490101	0.47357810	0.52433630	0.69965675	0.54027341
shaanxi	0.12692672	0.03714517	0.08766922	0.09385853	0.06791519	0.08476020	0.05809370	0.05036892	0.00000000	0.13809260	0.06986279	0.03027866	0.02662328	0.12885196	0.05658458	0.06225548	0.08490845	0.02192553	0.69091151	0.16660627	0.43998403	0.47212143	0.56925419	0.48790714	0.52411637	0.72385677	0.53442281
heilongjiang	0.23972082	0.15059828	0.22521062	0.20043084	0.11662376	0.14209743	0.17377226	0.18807686	0.13809260	0.00000000	0.16288355	0.12807964	0.11166183	0.24842712	0.13082007	0.19438531	0.12594353	0.13900337	0.55315449	0.29221287	0.42284030	0.53352262	0.59536065	0.52011701	0.51425582	0.76723003	0.50853822
