	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
hubei	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
yunnan	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
guangdong	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
jiangsu	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
zhejiang	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
hunan	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
sichuan	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
shaanxi	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
heilongjiang	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
jiangxi	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
henan	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
shanxi	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
tibet	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
anhui	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
guizhou	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
shanghai	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
ningxia	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
california	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
cambodia	-0.15250486	0.67169502	1.15249183	0.25919147	-2.14188181	0.56940290	0.66548681	0.71777182	0.87436158	0.92961109	0.53588040	-0.09935569	-1.37512113	-0.88340476	-0.54589981	1.06002986	-1.90072277	-2.24907024	0.70132553	0.86330194	0.85644583	0.04591040	-1.43382833	0.57287060	0.02770378	-0.15587881	0.43418732
