	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486	-0.15250486
hubei	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502	0.67169502
yunnan	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183	1.15249183
guangdong	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147	0.25919147
jiangsu	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181	-2.14188181
zhejiang	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290	0.56940290
hunan	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681	0.66548681
sichuan	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182	0.71777182
shaanxi	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158	0.87436158
heilongjiang	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109	0.92961109
