	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
hubei	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
yunnan	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
guangdong	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
jiangsu	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
zhejiang	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
hunan	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
sichuan	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
shaanxi	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
heilongjiang	-1.14882524	0.79262030	0.55921486	1.64523872	1.20645600	0.90613066	-1.00978818	1.19226863	0.28964593	0.12384719	0.51084057	1.37524292	0.25933702	-2.27253816	0.84324411	0.33647646	-0.14980065	-1.79903837	0.36001063	-0.52977490	-1.09422634	-0.06836221	-0.95135486	-1.10788987	-1.00303418	-0.23627061	0.97032957
