	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524	-1.14882524
hubei	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030	0.79262030
yunnan	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486	0.55921486
guangdong	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872	1.64523872
jiangsu	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600	1.20645600
zhejiang	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066	0.90613066
hunan	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818	-1.00978818
sichuan	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863	1.19226863
shaanxi	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593	0.28964593
heilongjiang	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719	0.12384719
