	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
hubei	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
yunnan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
guangdong	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
jiangsu	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
zhejiang	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
hunan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
sichuan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
shaanxi	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
heilongjiang	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
jiangxi	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
henan	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
shanxi	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
tibet	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
anhui	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
guizhou	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
shanghai	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
ningxia	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
california	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
cambodia	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
sweden	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
australia	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
tunisia	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
greece	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
belgium	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
burkina_faso	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
united_kingdom	0.53565068	0.11372959	0.90181841	1.09604937	0.38403439	0.67038378	0.84797180	0.79161981	-0.53918346	0.21068927	0.95337297	0.00832842	-0.37743030	-0.10712550	0.73251787	1.00282267	0.30045992	0.60488948	-0.23475390	1.05033265	-0.72591379	-2.89636043	-2.05671705	-0.94676888	-1.56555716	0.46221308	-1.21707368
