	australia	sweden	california	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	zhejiang	sichuan	shanghai
australia	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
sweden	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
california	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
tunisia	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
greece	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
belgium	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
tibet	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
cambodia	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
burkina_faso	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
united_kingdom	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
hubei	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
jiangsu	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
hainan	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
yunnan	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
guangdong	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
heilongjiang	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
henan	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
hunan	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
ningxia	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
shaanxi	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
shanxi	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
anhui	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
guizhou	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
jiangxi	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
zhejiang	1.26435101	-0.46303761	1.68667209	-1.25909674	-1.25909674	0.58929532	-1.25909674	2.12250475	0.79868627	-1.25909674	0.00262713	0.00262713	1.26435101	1.92513979	0.79868627	0.00262713	-0.46303761	-0.46303761	-0.46303761	0.00262713	0.33302152	-1.25909674	-0.46303761	-1.25909674	-0.46303761	-0.46303761	0.00262713
