	australia	sweden	california	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	zhejiang	sichuan	shanghai
australia	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101
sweden	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761	-0.46303761
california	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209	1.68667209
tunisia	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674
greece	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674
belgium	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532	0.58929532
tibet	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674
cambodia	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475	2.12250475
burkina_faso	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627
united_kingdom	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674	-1.25909674
hubei	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713
jiangsu	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713	0.00262713
hainan	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101	1.26435101
yunnan	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979	1.92513979
guangdong	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627	0.79868627
