	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
hubei	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
yunnan	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
guangdong	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
jiangsu	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
zhejiang	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
hunan	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
sichuan	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
shaanxi	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
heilongjiang	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
jiangxi	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
henan	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
shanxi	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
tibet	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
anhui	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
guizhou	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
shanghai	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
ningxia	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
california	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
cambodia	0.71743342	-0.80857581	0.26143940	1.06775868	1.16581168	-0.22692164	1.13534861	0.23668815	-1.70628430	-2.15275862	0.82500612	0.02344669	0.08151691	-1.88335088	-0.25548076	-0.29641551	1.13154073	-1.61775101	1.07061460	1.15058015	-0.91710049	0.33188524	0.40042714	0.01297501	-0.52108062	1.35715782	-0.58391070
