	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342	0.71743342
hubei	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581	-0.80857581
yunnan	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940	0.26143940
guangdong	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868	1.06775868
jiangsu	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168	1.16581168
zhejiang	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164	-0.22692164
hunan	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861	1.13534861
sichuan	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815	0.23668815
shaanxi	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430	-1.70628430
heilongjiang	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862	-2.15275862
jiangxi	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612	0.82500612
henan	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669	0.02344669
shanxi	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691	0.08151691
tibet	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088	-1.88335088
anhui	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076	-0.25548076
guizhou	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551	-0.29641551
shanghai	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073	1.13154073
ningxia	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101	-1.61775101
california	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460	1.07061460
cambodia	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015	1.15058015
sweden	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049	-0.91710049
australia	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524	0.33188524
tunisia	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714	0.40042714
greece	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501	0.01297501
belgium	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062	-0.52108062
burkina_faso	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782	1.35715782
united_kingdom	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070	-0.58391070
