	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390	-0.23475390
hubei	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787	0.73251787
yunnan	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927	0.21068927
guangdong	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842	0.00832842
jiangsu	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981	0.79161981
zhejiang	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379	-0.72591379
hunan	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068	0.53565068
sichuan	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948	0.60488948
shaanxi	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841	0.90181841
heilongjiang	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937	1.09604937
jiangxi	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368	-1.21707368
henan	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297	0.95337297
shanxi	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265	1.05033265
tibet	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378	0.67038378
anhui	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888	-0.94676888
guizhou	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705	-2.05671705
shanghai	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043	-2.89636043
ningxia	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267	1.00282267
