	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
hubei	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
yunnan	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
guangdong	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
jiangsu	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
zhejiang	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
hunan	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
sichuan	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
shaanxi	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
heilongjiang	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
jiangxi	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
henan	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
shanxi	-1.00329315	0.50151256	0.02289682	1.14018377	1.11548602	0.80401004	0.41231841	0.55741043	0.11181923	-0.45989763	0.08331410	0.54457387	-0.13523028	-1.78750285	0.37498451	-0.22266608	0.42197648	-1.27560319	1.68371100	0.04244376	-1.72309217	0.23000227	1.03564657	-1.62153328	-0.42187180	0.30242433	-2.26886715	1.53484338
