	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315	-1.00329315
hubei	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256	0.50151256
yunnan	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682	0.02289682
guangdong	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377	1.14018377
jiangsu	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602	1.11548602
zhejiang	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004	0.80401004
hunan	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841	0.41231841
sichuan	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043	0.55741043
shaanxi	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923	0.11181923
heilongjiang	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763	-0.45989763
jiangxi	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410	0.08331410
henan	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387	0.54457387
shanxi	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028	-0.13523028
tibet	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285	-1.78750285
anhui	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451	0.37498451
guizhou	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608	-0.22266608
shanghai	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648	0.42197648
ningxia	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319	-1.27560319
california	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100	1.68371100
missouri	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376	0.04244376
cambodia	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217	-1.72309217
sweden	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227	0.23000227
australia	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657	1.03564657
tunisia	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328	-1.62153328
greece	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180	-0.42187180
belgium	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433	0.30242433
burkina_faso	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715	-2.26886715
united_kingdom	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338	1.53484338
