	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225	-0.35398225
hubei	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606	-0.32682606
yunnan	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472	0.26879472
guangdong	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236	1.21404236
jiangsu	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271	0.17049271
zhejiang	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776	0.68334776
hunan	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909	0.41093909
sichuan	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281	0.40432281
shaanxi	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917	-1.24689917
heilongjiang	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128	-0.43093128
