	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
hubei	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
yunnan	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
guangdong	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
jiangsu	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
zhejiang	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
hunan	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
sichuan	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
shaanxi	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
heilongjiang	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
jiangxi	-1.41676364	-0.01247031	0.60757507	-0.04001111	-0.50310585	-0.50956749	0.09519869	0.77910611	0.06826157	0.74185530	-0.10146761	-0.10097317	-0.15721890	1.54623120	-0.25246337	-0.05764409	-2.80640579	-0.86230169	0.66808592	-0.03209293	-0.03436055	0.71781828	3.06013164	-0.11790213	-0.29538602	-1.49939365	0.30834777	0.20691673
