	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364	-1.41676364
hubei	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031	-0.01247031
yunnan	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507	0.60757507
guangdong	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111	-0.04001111
jiangsu	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585	-0.50310585
zhejiang	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749	-0.50956749
hunan	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869	0.09519869
sichuan	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611	0.77910611
shaanxi	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157	0.06826157
heilongjiang	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530	0.74185530
