	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755	0.04502755
hubei	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882	0.98597882
yunnan	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231	0.90760231
guangdong	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562	0.67141562
jiangsu	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408	0.53441408
zhejiang	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102	0.69353102
hunan	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116	1.10187116
sichuan	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160	1.00926160
shaanxi	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028	0.56809028
heilongjiang	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728	0.26596728
jiangxi	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628	0.82808628
henan	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414	1.15755414
shanxi	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075	0.65296075
tibet	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711	-0.54600711
anhui	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608	1.12524608
guizhou	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714	0.90425714
shanghai	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873	-0.95776873
ningxia	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943	-0.20588943
california	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212	-1.04185212
missouri	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769	-1.31442769
cambodia	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422	-3.00593422
