	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.00000000	0.09398355	0.08276434	0.03869181	0.12201086	0.10179956	0.06964847	0.10703607	0.12498877	0.23606069	0.07570961	0.11568629	0.14128055	0.17990033	0.10724377	0.07027052	0.11806259	0.14255718	0.76600132	0.86048940	0.05772327	0.54585648	0.34678545	0.64360887	0.56455985	0.62234970	0.77164221	0.63900667
hubei	0.09398355	0.00000000	0.08071679	0.05816037	0.04837016	0.05357984	0.02441493	0.05915953	0.03657803	0.14829890	0.03246965	0.02251530	0.04737532	0.14822242	0.03118050	0.04512795	0.05952557	0.05792575	0.69080960	0.77034960	0.14036574	0.46984419	0.42891712	0.59453857	0.51431922	0.55252781	0.74342597	0.56283531
yunnan	0.08276434	0.08071679	0.00000000	0.07936154	0.12868031	0.12605764	0.06852680	0.04113727	0.08633065	0.22177203	0.09370821	0.09918689	0.11191639	0.09721733	0.11093676	0.03724805	0.13686869	0.09255977	0.76645977	0.83043060	0.09206010	0.46812295	0.42405748	0.56104995	0.48185294	0.54167753	0.69367890	0.56068874
guangdong	0.03869181	0.05816037	0.07936154	0.00000000	0.08346851	0.06504013	0.03522137	0.08787822	0.09242547	0.19737060	0.03703416	0.07867269	0.10531761	0.17262081	0.06856018	0.05066616	0.08081928	0.11209295	0.72970395	0.82179762	0.09355215	0.52238101	0.37308369	0.63396302	0.55398539	0.60239046	0.77215481	0.61566258
jiangsu	0.12201086	0.04837016	0.12868031	0.08346851	0.00000000	0.02823770	0.06367860	0.10588078	0.06687824	0.11484311	0.04657171	0.03745031	0.05461944	0.19210794	0.01789690	0.09209458	0.01861156	0.08561414	0.64863969	0.73875599	0.17617340	0.48207319	0.42838717	0.62226164	0.54261229	0.56839907	0.77816809	0.57349438
zhejiang	0.10179956	0.05357984	0.12605764	0.06504013	0.02823770	0.00000000	0.05753085	0.11216292	0.08346606	0.13992784	0.03297619	0.05445656	0.07813810	0.20173349	0.02824803	0.08891870	0.01649595	0.10435576	0.66474039	0.76154982	0.15840439	0.50838279	0.40022756	0.64368195	0.56367147	0.59395173	0.79584082	0.60022967
hunan	0.06964847	0.02441493	0.06852680	0.03522137	0.06367860	0.05753085	0.00000000	0.06066107	0.05720670	0.17111905	0.02562210	0.04662226	0.07163210	0.15013660	0.04596094	0.03144825	0.06896792	0.07702968	0.71144168	0.79424454	0.11675083	0.48826129	0.40809505	0.60568420	0.52547758	0.56932767	0.74962954	0.58148238
sichuan	0.10703607	0.05915953	0.04113727	0.08787822	0.10588078	0.11216292	0.06066107	0.00000000	0.04959987	0.18520525	0.08468168	0.07052131	0.07580616	0.09004936	0.08983129	0.03794448	0.11860723	0.05188294	0.72882752	0.78930742	0.13023895	0.43884013	0.45375983	0.54642860	0.46634736	0.51633057	0.68897417	0.53202435
shaanxi	0.12498877	0.03657803	0.08633065	0.09242547	0.06687824	0.08346606	0.05720670	0.04959987	0.00000000	0.13598416	0.06879610	0.02981636	0.02621679	0.12688461	0.05572063	0.06130494	0.08361204	0.02159077	0.68036246	0.74812555	0.16406247	0.43326622	0.46491293	0.56056264	0.48045762	0.51611400	0.71280470	0.52626308
heilongjiang	0.23606069	0.14829890	0.22177203	0.19737060	0.11484311	0.13992784	0.17111905	0.18520525	0.13598416	0.00000000	0.16039659	0.12612408	0.10995694	0.24463406	0.12882267	0.19141737	0.12402059	0.13688102	0.54470876	0.62443803	0.28775128	0.41638424	0.52537663	0.58627049	0.51217570	0.50640400	0.75551572	0.50077370
jiangxi	0.07570961	0.03246965	0.09370821	0.03703416	0.04657171	0.03297619	0.02562210	0.08468168	0.06879610	0.16039659	0.00000000	0.04683117	0.07442698	0.17467128	0.03170653	0.05693073	0.04655029	0.09028987	0.69439032	0.78479272	0.12969193	0.50186580	0.39855731	0.62632721	0.54608694	0.58490229	0.77311027	0.59473789
henan	0.11568629	0.02251530	0.09918689	0.07867269	0.03745031	0.05445656	0.04662226	0.07052131	0.02981636	0.12612408	0.04683117	0.00000000	0.02759650	0.15482949	0.02628630	0.06577266	0.05379857	0.05000663	0.66952462	0.74784098	0.16288079	0.45701788	0.44525776	0.58922948	0.50923562	0.54136011	0.74250207	0.54954817
shanxi	0.14128055	0.04737532	0.11191639	0.10531761	0.05461944	0.07813810	0.07163210	0.07580616	0.02621679	0.10995694	0.07442698	0.02759650	0.00000000	0.14885217	0.05049878	0.08386928	0.07312612	0.03515991	0.65455785	0.72568166	0.18523939	0.43076930	0.47276643	0.56764302	0.48800259	0.51588156	0.72430088	0.52302604
