	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
hubei	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
yunnan	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
guangdong	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
jiangsu	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
zhejiang	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
hunan	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
sichuan	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
shaanxi	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
heilongjiang	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
jiangxi	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
henan	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
shanxi	-0.18302170	0.64634143	1.13015023	0.23125373	-2.18486125	0.54340851	0.64009434	0.69270689	0.85027762	0.90587324	0.50967600	-0.12953958	-1.41329714	-0.91850037	-0.57888110	1.03710903	-1.94219145	-2.29272117	0.67615757	0.79815957	0.83914870	0.83224963	0.01663654	-1.47237212	0.54689793	-0.00168414	-0.18641679	0.40734585
