	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170	-0.18302170
hubei	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143	0.64634143
yunnan	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023	1.13015023
guangdong	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373	0.23125373
jiangsu	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125	-2.18486125
zhejiang	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851	0.54340851
hunan	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434	0.64009434
sichuan	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689	0.69270689
shaanxi	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762	0.85027762
heilongjiang	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324	0.90587324
