	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
hubei	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
yunnan	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
guangdong	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
jiangsu	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
zhejiang	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
hunan	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
sichuan	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
shaanxi	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
heilongjiang	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
jiangxi	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
henan	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
shanxi	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
tibet	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
anhui	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
guizhou	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
shanghai	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
ningxia	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
california	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
missouri	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
cambodia	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
sweden	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
australia	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
tunisia	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
greece	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
belgium	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
burkina_faso	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
united_kingdom	-1.05704521	0.82758369	0.60100889	1.65525013	1.22930844	0.93777216	-0.92207709	1.21553626	0.33932893	0.17838231	0.55405028	1.39315579	0.30990701	-2.14787254	0.87672598	0.38478895	-0.08725720	-1.68822978	0.40763439	-1.57030698	-0.45611146	-1.00404416	-0.00820207	-0.86535383	-1.01730782	-0.91552075	-0.17119661	1.00009228
