	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521	-1.05704521
hubei	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369	0.82758369
yunnan	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889	0.60100889
guangdong	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013	1.65525013
jiangsu	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844	1.22930844
zhejiang	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216	0.93777216
hunan	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709	-0.92207709
sichuan	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626	1.21553626
shaanxi	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893	0.33932893
heilongjiang	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231	0.17838231
