	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
hubei	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
yunnan	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
guangdong	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
jiangsu	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
zhejiang	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
hunan	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
sichuan	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
shaanxi	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
heilongjiang	0.56163570	0.16920732	0.90855285	1.09444387	0.41960059	0.68869044	0.85723001	0.80362542	-0.57729493	0.25857447	0.95778028	0.07268345	-0.41626880	-0.03224397	0.74752672	1.00507672	0.34177329	0.62683562	-0.14717896	-0.27423370	1.05058796	-0.76318595	-2.92387700	-2.08800760	-0.98304836	-1.59905535	0.49270811	-1.25213820
