	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570
hubei	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732
yunnan	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285
guangdong	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387
jiangsu	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059
zhejiang	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044
hunan	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001
sichuan	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542
shaanxi	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493
heilongjiang	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447
