	australia	sweden	california	missouri	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	zhejiang	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	shanghai	sichuan
australia	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
sweden	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
california	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
missouri	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
tunisia	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
greece	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
belgium	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
tibet	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
cambodia	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
burkina_faso	1.03543734	-0.36751266	1.81168222	-1.14375754	-1.14375754	-1.14375754	0.65862725	-1.14375754	2.15367444	0.86280636	-1.14375754	0.08656148	0.08656148	0.08656148	1.18497710	1.81168222	0.86280636	0.08656148	-0.36751266	0.08656148	-1.14375754	0.08656148	0.40873222	-1.14375754	-0.36751266	-1.14375754	0.08656148	-1.14375754
