	australia	sweden	california	missouri	tunisia	greece	belgium	tibet	cambodia	burkina_faso	united_kingdom	zhejiang	hubei	jiangsu	hainan	yunnan	guangdong	heilongjiang	henan	hunan	ningxia	shaanxi	shanxi	anhui	guizhou	jiangxi	shanghai	sichuan
australia	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734	1.03543734
sweden	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266	-0.36751266
california	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222	1.81168222
missouri	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
tunisia	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
greece	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
belgium	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725	0.65862725
tibet	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754	-1.14375754
cambodia	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444	2.15367444
burkina_faso	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636	0.86280636
