	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
hubei	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
yunnan	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
guangdong	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
jiangsu	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
zhejiang	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
hunan	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
sichuan	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
shaanxi	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
heilongjiang	0.70287775	-0.84033826	0.24174209	1.05715316	1.15631177	-0.25212555	1.12550521	0.21671176	-1.74816901	-2.19967762	0.81166341	0.00106585	0.05979085	-1.92723213	-0.28100669	-0.32240301	1.12165439	-1.65863745	1.06004128	0.61142078	1.14090849	-0.95008662	0.31298225	0.38229701	-0.00952390	-0.54960137	1.34981546	-0.61313990
