	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775	0.70287775
hubei	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826	-0.84033826
yunnan	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209	0.24174209
guangdong	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316	1.05715316
jiangsu	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177	1.15631177
zhejiang	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555	-0.25212555
hunan	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521	1.12550521
sichuan	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176	0.21671176
shaanxi	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901	-1.74816901
heilongjiang	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762	-2.19967762
jiangxi	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341	0.81166341
henan	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585	0.00106585
shanxi	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085	0.05979085
tibet	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213	-1.92723213
anhui	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669	-0.28100669
guizhou	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301	-0.32240301
shanghai	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439	1.12165439
ningxia	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745	-1.65863745
california	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128	1.06004128
missouri	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078	0.61142078
cambodia	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849	1.14090849
sweden	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662	-0.95008662
australia	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225	0.31298225
tunisia	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701	0.38229701
greece	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390	-0.00952390
belgium	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137	-0.54960137
burkina_faso	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546	1.34981546
