	hainan	hubei	yunnan	guangdong	jiangsu	zhejiang	hunan	sichuan	shaanxi	heilongjiang	jiangxi	henan	shanxi	tibet	anhui	guizhou	shanghai	ningxia	california	missouri	cambodia	sweden	australia	tunisia	greece	belgium	burkina_faso	united_kingdom
hainan	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896	-0.14717896
hubei	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672	0.74752672
yunnan	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447	0.25857447
guangdong	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345	0.07268345
jiangsu	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542	0.80362542
zhejiang	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595	-0.76318595
hunan	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570	0.56163570
sichuan	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562	0.62683562
shaanxi	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285	0.90855285
heilongjiang	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387	1.09444387
jiangxi	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820	-1.25213820
henan	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028	0.95778028
shanxi	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796	1.05058796
tibet	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044	0.68869044
anhui	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836	-0.98304836
guizhou	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760	-2.08800760
shanghai	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700	-2.92387700
ningxia	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672	1.00507672
california	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001	0.85723001
missouri	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493	-0.57729493
cambodia	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880	-0.41626880
sweden	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811	0.49270811
australia	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732	0.16920732
tunisia	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059	0.41960059
greece	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329	0.34177329
belgium	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397	-0.03224397
burkina_faso	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535	-1.59905535
united_kingdom	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370	-0.27423370
