sequence	region
NC_038281|2007-08|France	France
HQ655077|2007-08|Germany	Germany
HQ655076|2007-08|Germany	Germany
HQ655075|2007-08|Germany	Germany
HQ655074|2007-08|Germany	Germany
HQ655043|2007-09|Germany	Germany
HQ655042|2007-09|Germany	Germany
HQ655041|2007-09|Germany	Germany
HQ655040|2007-09|Germany	Germany
HQ655039|2007-09|Germany	Germany
HQ655038|2007-09|Germany	Germany
HQ655037|2007-09|Germany	Germany
HQ655110|2007-10|Greece	Greece
HQ655105|2007-10|Greece	Greece
HQ655095|2007-10|Greece	Greece
HQ655094|2007-10|Greece	Greece
HQ655093|2007-10|Greece	Greece
HQ655092|2007-10|Greece	Greece
HQ655091|2007-10|Greece	Greece
HQ655090|2007-10|Greece	Greece
HQ655089|2007-10|Greece	Greece
HQ655088|2007-10|Greece	Greece
HQ655087|2007-10|Greece	Greece
HQ655086|2007-10|Greece	Greece
HQ655085|2007-10|Greece	Greece
HQ655084|2007-10|Greece	Greece
HQ655083|2007-10|Greece	Greece
HQ655082|2007-10|Greece	Greece
HQ655081|2007-10|Greece	Greece
HQ655080|2007-10|Greece	Greece
HQ655073|2007-10|Greece	Greece
HQ655072|2007-10|Greece	Greece
HQ655071|2007-10|Greece	Greece
HQ655070|2007-10|Greece	Greece
HQ655069|2007-10|Greece	Greece
HQ655068|2007-10|Greece	Greece
HQ655067|2007-10|Greece	Greece
HQ655066|2005-06|Greece	Greece
HQ655065|2005-06|Greece	Greece
HQ655064|2005-06|Greece	Greece
HQ655063|2005-06|Greece	Greece
HQ655062|2005-06|Greece	Greece
HQ655061|2005-06|Greece	Greece
HQ655059|2007-10|Greece	Greece
HQ655058|2007-10|Greece	Greece
HQ655057|2007-10|Greece	Greece
HQ655056|2007-10|Greece	Greece
HQ655055|2007-10|Greece	Greece
HQ655052|2007-10|Greece	Greece
HQ655051|2007-10|Greece	Greece
HQ655050|2007-10|Greece	Greece
HQ655049|2007-10|Greece	Greece
HQ655048|2007-10|Greece	Greece
HQ655047|2007-10|Greece	Greece
HQ655046|2007-10|Greece	Greece
HQ655045|2007-10|Greece	Greece
HQ655044|2007-10|Greece	Greece
HQ655020|2007-10|Greece	Greece
HQ655019|2007-10|Greece	Greece
HQ655018|2007-10|Greece	Greece
HQ655017|2007-10|Greece	Greece
HQ655016|2007-10|Greece	Greece
HQ655015|2007-10|Greece	Greece
HQ655014|2007-10|Greece	Greece
HQ655013|2007-10|Greece	Greece
HQ655012|2007-10|Greece	Greece
HQ655011|2007-10|Greece	Greece
HQ655010|2007-10|Greece	Greece
HQ655009|2007-10|Greece	Greece
HQ655008|2007-10|Greece	Greece
HQ655007|2007-10|Greece	Greece
HQ655005|2006-08|Greece	Greece
HQ655004|2006-08|Greece	Greece
HQ655006|2007-10|Greece	Greece
HQ655104|2009-01|Kenya	Kenya
HQ655054|2005-06|Spain	Spain
HQ655053|2005-06|Spain	Spain
GQ451695|2007-10|Sweden	Sweden
HQ655109|2007-08|Sweden	Sweden
HQ655079|2007-08|Sweden	Sweden
HQ655078|2007-08|Sweden	Sweden
HQ655108|2008-11|USA	California
HQ655107|2008-11|USA	California
HQ655106|2008-11|USA	California
HQ655103|2008-11|USA	California
HQ655102|2007-10|USA	North_Carolina
HQ655100|2008-11|USA	California
HQ655099|2008-11|USA	California
HQ655098|2008-11|USA	California
HQ655097|2008-11|USA	California
KT160287|2011-05|USA	Georgia
KT160286|2011-05|USA	Georgia
KT160285|2011-05|USA	Georgia
KT160284|2011-05|USA	Georgia
KT160283|2011-05|USA	Georgia
GQ451693|2007-08|United_Kingdom	United_Kingdom
HQ655060|2007-08|United_Kingdom	United_Kingdom
HQ655036|2007-08|United_Kingdom	United_Kingdom
HQ655035|2007-08|United_Kingdom	United_Kingdom
HQ655034|2007-08|United_Kingdom	United_Kingdom
HQ655033|2007-08|United_Kingdom	United_Kingdom
HQ655032|2007-08|United_Kingdom	United_Kingdom
HQ655031|2007-08|United_Kingdom	United_Kingdom
HQ655030|2007-08|United_Kingdom	United_Kingdom
HQ655029|2007-08|United_Kingdom	United_Kingdom
HQ655028|2007-08|United_Kingdom	United_Kingdom
HQ655027|2007-08|United_Kingdom	United_Kingdom
HQ655026|2005-06|United_Kingdom	United_Kingdom
HQ655025|2005-06|United_Kingdom	United_Kingdom
HQ655024|2005-06|United_Kingdom	United_Kingdom
HQ655023|2005-06|United_Kingdom	United_Kingdom
HQ655022|2005-06|United_Kingdom	United_Kingdom
HQ655021|2005-06|United_Kingdom	United_Kingdom
